WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
035,"1,21E+07",Frankfurt (Oder),0022,932,366,"39,27",874,58,0,0,18,348,72,55,159,0,11,11,25,0,0,0,0,0,0,14,0,1
035,"1,21E+07",Frankfurt (Oder),0023,782,294,"37,60",751,31,0,0,20,274,48,35,150,0,4,13,14,0,0,0,0,0,0,4,0,6
035,"1,21E+07",Frankfurt (Oder),0024,936,480,"51,28",849,87,0,0,18,462,82,73,216,0,17,18,34,0,0,0,0,0,0,15,0,7
035,"1,21E+07",Frankfurt (Oder),0025,453,152,"33,55",424,29,0,0,3,149,21,31,72,0,2,9,9,0,0,0,0,0,0,2,0,3
035,"1,21E+07",Frankfurt (Oder),0026,524,191,"36,45",494,30,0,0,10,181,55,36,67,0,2,3,7,0,0,0,0,0,0,7,0,4
035,"1,21E+07",Frankfurt (Oder),0027,1006,421,"41,85",931,75,0,0,14,407,81,97,143,0,29,19,15,0,0,0,0,0,0,16,0,7
035,"1,21E+07",Frankfurt (Oder),0028,910,463,"50,88",835,75,0,0,22,441,108,76,178,0,8,28,26,0,0,0,0,0,0,12,0,5
035,"1,21E+07",Frankfurt (Oder),0029,937,432,"46,10",847,90,0,0,15,417,110,87,175,0,9,7,19,0,0,0,0,0,0,6,0,4
035,"1,21E+07",Frankfurt (Oder),0030,377,201,"53,32",343,34,0,0,4,197,35,68,57,0,6,13,7,0,0,0,0,0,0,5,0,6
035,"1,21E+07",Frankfurt (Oder),0031,755,331,"43,84",689,66,0,0,8,323,46,31,195,0,9,9,14,0,0,0,0,0,0,16,0,3
035,"1,21E+07",Frankfurt (Oder),0032,618,284,"45,95",569,49,0,0,10,274,55,75,102,0,6,13,16,0,0,0,0,0,0,4,0,3
035,"1,21E+07",Frankfurt (Oder),0033,1152,537,"46,61",1080,72,0,0,18,519,116,101,225,0,22,21,17,0,0,0,0,0,0,10,0,7
035,"1,21E+07",Frankfurt (Oder),0034,934,451,"48,29",868,66,0,0,15,436,99,94,154,0,11,18,34,0,0,0,0,0,0,18,0,8
035,"1,21E+07",Frankfurt (Oder),0035,839,361,"43,03",790,49,0,0,17,344,71,52,179,0,9,6,22,0,0,0,0,0,0,3,0,2
