WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
002,"1,21E+07",Heiligengrabe,0008,191,101,"52,88",191,0,0,0,3,98,21,14,35,3,0,2,15,0,0,3,3,0,1,0,1,0
002,"1,21E+07",Heiligengrabe,0009,256,109,"42,58",251,5,0,0,0,109,29,18,38,4,3,1,4,1,1,0,5,1,4,0,0,0
002,"1,21E+07",Heiligengrabe,0010,114,79,"69,30",108,6,0,0,3,76,27,15,18,2,5,5,0,0,0,0,4,0,0,0,0,0
002,"1,21E+07",Heiligengrabe,0011,214,127,"59,35",208,6,0,0,5,122,27,41,37,2,4,4,0,1,0,0,5,1,0,0,0,0
002,"1,21E+07",Heiligengrabe,0012,510,264,"51,76",499,11,0,0,5,259,79,78,66,11,1,5,1,1,0,2,9,0,4,0,2,0
002,"1,21E+07",Herzsprung,0017,250,137,"54,80",247,3,0,0,3,134,40,28,38,11,0,4,6,0,0,2,2,0,3,0,0,0
002,"1,21E+07",Königsberg,0015,241,146,"60,58",231,10,0,0,1,145,37,26,51,0,1,8,9,1,0,0,10,0,2,0,0,0
002,"1,21E+07",Kyritz,0001,1429,716,"50,10",1332,97,0,0,9,707,270,162,189,20,15,28,3,2,0,3,7,2,6,0,0,0
002,"1,21E+07",Kyritz,0002,1049,498,"47,47",947,102,0,0,10,488,190,113,141,21,6,7,0,0,0,2,5,1,1,0,1,0
002,"1,21E+07",Kyritz,0003,1026,494,"48,15",983,43,0,2,19,475,157,105,119,35,15,18,2,5,1,1,12,2,1,0,2,0
002,"1,21E+07",Kyritz,0004,1252,546,"43,61",1166,86,0,0,9,537,153,89,179,39,14,29,4,3,1,7,13,0,5,1,0,0
002,"1,21E+07",Kyritz,0005,1081,483,"44,68",1040,41,0,0,8,475,187,69,164,19,3,10,1,4,2,5,7,0,2,1,1,0
002,"1,21E+07",Kyritz,0006,994,315,"31,69",920,74,0,0,15,300,103,40,113,16,5,9,0,1,0,0,6,1,3,1,2,0
002,"1,21E+07",Kyritz,0007,171,97,"56,73",163,8,0,0,0,97,33,28,17,4,3,6,1,0,0,0,4,0,1,0,0,0
002,"1,21E+07",Kyritz,0008,66,41,"62,12",60,6,0,0,0,41,11,11,15,3,0,1,0,0,0,0,0,0,0,0,0,0
002,"1,21E+07",Kyritz,0009,182,116,"63,74",180,2,0,0,2,114,27,34,38,8,2,1,1,0,0,0,3,0,0,0,0,0
